[ə'bændən] v./n.放弃；放纵
[nɔ:m] n.规范，准则
[nɔs'tældʒiə] n.怀旧之情
['nɔstrəm] n.骗人的药、疗法；万灵丹，妙策
['nəutəbl] a.明显的，出众的，重要的
[nɔtʃ] n.V字形刻痕
[nəu'tɔ:riəs] a.臭名昭著的
['nʌriʃ] v.养，滋养；怀有(希望等)
['nəuvə] n.新星(短时间内亮度突然大幅增加，而后回归初始亮度的星星)
['nɔvəlti] n.新奇(的事物)
['nɔvis] n.生手，新手
['nɔkʃəs] a.有害的，有毒的
[nju:'ɑ:ns] n.细微的差异
['nju:bail] a.(女孩)到婚嫁年龄的；性感的，吸引人的
['njuklieit] v.使成核；a.有核的
['nju:kliəs] n.(原子)核
[nʌdʒ] v.(用肘)轻触，轻推
['nju:ɡətəri] a.无价值的，琐碎的
['nʌlifai] v.使无效，取消
[nʌm] a.麻木的
['nju:mərəs] a.许多的，很多的
[nju:'mizmətist] n.钱币学家，钱币收藏家
['nə:tʃə] v.抚育，给„营养物，教养；n.养育，营养物；(总称)环境因素
['nju:triənt] n.滋养物质
[nju:'triʃən] n.营养；营养学
['əufiʃnis] n.痴呆
[əuk] n.橡树
[əu'eisis] n.绿洲
['əuθ] n.誓言；咒骂
['ɔbdjurit] a.固执的，顽固的
[ə'bi:djənt] a.服从的，顺从的
[əu'beisns] n.鞠躬，敬礼(表示尊敬或服从)
[əu'bi:s] a.极肥胖的
['ɔbfʌskeit] v.使困惑，使迷惑
[ə'bitjuəri] n.讣闻，讣告
[əb'dʒekʃən] n.厌恶；反对
[əb'dʒektiv] a.客观的；n.目标
[,ɔbli'ɡeiʃən] n.责任；报恩，欠的人情
[ɔ'bliɡətəri] a.强制性的
[ə'blaidʒ] v.束缚，强迫；为„效力
[ə'blaidʒiŋ] a.恳切的，热心助人的
[ə'bli:k] a.间接的；斜的
[ə'blitəreit] v.涂掉，擦掉
[ə'bliviəs] a.遗忘的，疏忽的，未察觉的
['ɔbləkwi] n.大骂，公开斥责
[əb'nɔkʃəs] a.令人不愉快的；可憎的
[əb'skjuə] a.难理解的；不清楚的，不分明的；v.隐藏，使„模糊，使„不分明
[əb'skjuəriti] n.费解；不出名
[əb'si:kwiəs] a.(贬)逢迎的，谄媚的
[əb'zə:vətəri] n.天文台
[əb'ses] v.迷住；使„困窘，使„烦扰
[əb'sest] a.心神不宁的
[əb'seʃən] n.入迷；固执的念头
[,ɔbsə'lesnt] a.即将过时的
['ɔbsəli:t] a.废弃的；过时的
['ɔbstəkl] n.障碍，干扰
['ɔbstinəsi] n.固执，倔强，顽固
['ɔbstinit] a.固执的，倔强的
[əb'strepərəs] a.吵闹的；难管束的
[əb'strʌkt] v.阻塞，截断
[əb'strʌkʃən] n.阻碍(物)，妨碍
[əb'teinəb(ə)l] a.能得到的
[əb'tju:s] a.愚笨的；迟钝的
['ɔbvə:s] n./a.正面(的)
['ɔbvieit] v.排除(困难)
['ɔbviəs] a.明显的，显而易见的
[ɔ'klu:d] v.使闭塞
[ɔ'kʌlt] a.秘密的，不公开的
[,ɔkju'peiʃən] n.工作，职业；占领
[ə'kʌrəns] n.事件；发生
[,ɔktəudʒi'neəriən] n.～岁的老人
[ɔdz] n.机会，可能性
[əud] n.长诗，颂歌
['əudjəs] a.可憎的，讨厌的
['əudiəm] n.憎恶，反感
[ɔ'dɔmitə] n.(汽车)里程表
['ɔdisi] n.长途的冒险旅行
[ɔf'bi:t] a.非传统的，不平常的
[ə'fens] n.得罪；错事
[ə'fend] v.得罪，冒犯
[ə'fensiv] a.令人不快的，得罪人的
['ɔ:f'hænd] adv./a.事先无准备地(的)；(言行)随便地(的)，唐突地(的)
[ə'fiʃəs] a.爱发命令的，好忠告的，好管闲事的；过度殷勤的
['ɔ:fiʃ] a.冷淡的，疏远的
['ɔ:fki:] a.走调的，不和谐的
['ɔ:fset] v.补偿，抵消
['ɔfspriŋ] n.儿女，后代
['ɔ:f'steidʒ] adv./a.台后(的)，幕后(的)
['əuɡl] v.送秋波，色迷迷地看(女子)；n.媚眼
['ɔintmənt] n.油膏，软膏
[ɔl'fækʃən] n.嗅觉
['ɔliɡɑ:ki] n.寡头统治(政府权力集中在少数人手里)
['ɔmlit] n.煎蛋卷
['ɔminəs] a.不祥的，不吉利的
[əu'mit] v.省略，排除，删除；疏忽，忘记做，遗漏
[ɔm'nipətənt] a.全能的，万能的；权利无限的
[ɔmni'prezənt] a.无处不在的
[ɔm'nisiənt] a.无所不知的，博识的
['ɔnərəs] a.繁重的，麻烦的
['ɔnset] n.(坏情况)开始，开端；攻击，袭击
[əu'pæsiti] n.不透明性；晦涩，难懂
[,əupə'lesəns] n.(不透明的)乳白光
[əu'peik] a.不透明的；难懂的
['ɔpərətiv] a.(计划等)实施中的；生效的
[,ɔpə'retə] n.小歌剧
[əu'pain] v.想，以为
[ə'pinjəneitid] a.固执己见的
[ə'pəunənt] n.对手，敌手
['ɔpətju:n] a.合适的，适当的(尤指时机适时)
[ə'pəuz] v.反对
[ə'pres] v.压迫，压制
[ə'prəubriəs] a.（言语）辱骂的，骂人的；可耻的
['ɔptimizəm] n.乐观主义
['ɔptimist] n.乐观主义者
['ɔptiməm] a.最好的，最有利的
['ɔpʃənəl] a.可自由选择的
['ɔpjulənt] a.富裕的；充足的
['ɔrəkl] n.代神发布神谕的人
[ə'reiʃən] n.正式演说，演讲
[,ɔrə'tɔriəu] n.清唱剧(没有舞台行动、道具的戏剧)
['ɔrətəri] n.演讲术
['ɔ:tʃəd] n.果园
['ɔ:kistrə] n.管弦乐队
[ɔ:'dein] v.任命(神职)；颁发命令
[ɔ:'di:l] n.严峻考验，痛苦经验
['ɔ:dinəns] n.法令，条例
['ɔ:dnəns] n.大炮；军械，军用器材
[ɔ:(r)] n.矿，矿石
['ɔ:ɡənizəm] n.生物；有机体
['ɔ:riənt] a.上升的；v.确定方向；使熟悉情况
[ə'ridʒənəl] a.最初的，原始的；有创意的
[,əridʒi'næliti] n.创造性，独特性
[ɔ:'neit] a.(贬)华美的；充满装饰的，重度装饰的
[,ɔ:ni'θɔlədʒist] n.鸟类学家，鸟类学者
[,ɔ:ni'θɔlədʒi] n.鸟类学
[,ɔ:θəu'dɔntiks] n.畸齿矫正学
['ɔ:θədɔks] a.正统的
['ɔsileit] v.摆动；(思想、想法、感情)摇摆不定
[ɔz'məusis] n.渗透；(思想、观念)潜移默化
['ɔsiəs] a.骨的，多骨的
['ɔsifai] v.硬化，骨化；（贬）使(传统)僵化
[ɔs'tensəbl] a.表面上的
[,ɔsten'teiʃən] n.夸示，炫耀
['ɔstrəsizəm] n.放逐，排斥(出某集团)
['ɔstrəsaiz] v.放逐，排斥(出某集团)
['ɔstritʃ] n.鸵鸟；不接受不利现实的人
['ʌðədi'rektid] a.受人支配的
['ɔtə] n.水獭
[aust] v.驱逐；把„赶走
['autɡəuiŋ] a.友善的；即将离开的；即将离职的
['autɡrəuθ] n.自然结果；(某物上的)生长物
[aut'lændiʃ] a.古怪的
['autlet] n.出口
['autlain] n.轮廓；梗概，要点，大纲
[autmə'nu:və(r)] v.以策略制胜
[aut'məudid] a.不再流行的
['autreidʒ] n.暴行
['autset] n.开始，开头
[aut'ʃain] v.比„更好，比„更出色
['autskə:ts] n.郊区，郊外
[aut'spəukən] a.直言不讳的
[aut'strip] v.超过；(赛跑中)跑过，超过
[aut'wit] v.以机智胜过
[əu'veiʃən] n.热烈的欢迎、鼓掌
[,əuvə'beəriŋ] a.专横的，独断的
['əuvədəus] n.(药物)过大的剂量
['əuvə'dju:] a.过期未付的；逾期的
['əuvəriks'pəuʒə] n.过分暴露，(照相)暴光过度
['əuvə'fləu] v.溢出；充满，洋溢
[,əuvə'hɔ:l] v.彻底检查；大修
['əuvə'læp] v.(部分地)重叠；(部分地)巧合
[,əuvə'luk] v.忽视；俯视，从上往下看
[əuvə'pauriŋ] a.压倒性的，不可抗拒的
[,əuvə'ri:tʃ] v.做事过头(而失败)
[,əuvə'raid] v.不理会；蹂躏，践踏
[,əuvə'raidiŋ] a.最主要的，优先的，首要的
[,əuvə'ru:l] v.(高位的人)否决(低位的人或事)
['əuvə'si:] v.监督
[,əuvə'ʃædəu] v.遮蔽；使失色，使相形见绌
['əuvə'steit] v.夸张，对„言过其实
['əuvə:t] a.公开的，非秘密的
[,əuvə'θrəu] v./n.推翻；终止
['əuvətjuə] n.前奏曲，序曲
[,əuvə'tə:n] v.翻倒；推翻，使垮台(尤指政府)
['əuvə'welm] v.泛滥；压倒
['əuvə'rɔ:t] a.紧张过度的
[aul] n.猫头鹰
['ɔksi,daiz] v.氧化，生锈
['pæsifist] n.和平主义者，反战主义者
['pæsifai] v.使安静，抚慰
[pæk] n.狼群；(一起群居、捕猎的)一群动物
[pækt] a.充满人的，拥挤的
[pækt] n.协定，条约
['pædiŋ] n.衬垫，填料
['pi:ən] n.赞美歌，颂歌
['peiɡən] n.没有宗教信仰的人；异教徒(指不信犹太教、基督教、伊斯兰教恶人)
['pædʒənt] n.壮观的游行；露天历史剧
['pein,kilə(r)] n.止痛药
['peinsteikiŋ] a.煞费苦心的，辛苦的
['pælit] n.上腭；口味，味觉；品位，爱好
[pə'leiʃəl] a.宫殿般的；宏伟的
[,pæliəu'liθik] a.旧石器时代的
[,pæliɔn'tɔlədʒi] n.古生物学
['pælit] n.调色板，颜料配置
[pɔ:l] v.（因过多或过久而）令人发腻，失去吸引力
['pælieit] v.减轻(痛苦)；掩饰(罪行)
['pæliətiv] n.缓释剂；a.减轻的，缓和的
['pælid] a.苍白的，没血色的
['pa:mi] a.繁荣的；棕榈的
['pælpəbl] a.可触知的；明显的
['pælpiteit] v.(心脏)急速而不规则地跳动
['pɔ:ltə] v.含糊其词，说模棱两可的话，敷衍
['pɔ:ltri] a.无价值的，微不足道的
['pæmflit] n.小册子
[pæn] v.严厉批评
[,pænə'siə] n.万灵药(能治百病的药)
[pə'næʃ] n.羽饰；炫耀
['pænkriəs] n.胰腺
[pæn'demik] a.(病)大范围流行的
[,pændi'məunjəm] n.喧嚣，大混乱
['pændə] v.怂恿，迎合(不良欲望)
[,pæni'dʒirik] n.颂词，颂扬
['pænl] n.专门小组；仪表板
[pæŋ] n.一阵剧痛
['pænik] a.恐慌的；n.恐慌，惊惶
[,pænə'rɑ:mə] n.概观，全景
['pænθə] n.黑豹
['pæntəmaim] n.哑剧
['pæntri] n.食品室
[pə'paiərəs] n.莎草，莎草纸(古埃及人用来书写的一种草纸)
['pærəbl] n.寓言故事
[pə'ræbələ] n.抛物线
['pærədaim] n.范例，示范
['pærədɔks] n.矛盾；似矛盾而正确的说法
['pærəɡən] n.（褒）模范，典型
['pærəlel] a.平行的；类似的；n.平行线；v.与„相似
['pærəlelizəm] n.平行，类似
[pə'ræmitə] n.参量，变量
['pærəmaunt] a.最重要的，最高权力的
[,pærə'nɔiə] n.偏执狂；多疑症
['pærənɔid] a.偏执狂的，过分怀疑的
['pærəfreiz] v.(将一段文字)释义
['pærəsait] n.（贬）靠他人为生的人；寄生物
[pɑ:tʃ] v.烘烤；烤焦
[peə] v.削皮；修剪；削减，缩减
['pæriə] n.贱民，被社会遗弃者
['pæriti] n.(水平，地位，数量等的)同等，相等
['pɑ:kə] n.派克大衣(毛皮风雪大衣)
['pɑ:ləns] n.说法，用语，词汇，术语
['pærədi] n.模仿性嘲弄文章或表演；拙劣的模仿
['pærəksizəm] n.(感情等)突发
['pɑ:kei] n.镶木地板
['pæri] v.挡开，避开(武器，问题等)
[pɑ:z] v.对„作语法分析
['pɑ:siməni] n.过分节俭，吝啬
['pɑ:ʃəl] a.局部的；偏袒的
[,pɑ:ʃi'æliti] n.偏袒，偏心
[pə'tikjulə] n.事实，细节
[pə'tikjuləraiz] v.详述，逐一列举
[pɑ:ti'zæn] n.党派支持者；党徒
[pɑ:'tiʃən] n.隔开；隔墙
['pæʃənit] a.充满激情的
['pæsiv] a.被动的，缺乏活力的，消极的
['pæsetl] n.彩色粉笔或蜡笔画；柔和的色彩
['pæstəraiz] v.加热杀菌，消毒
[pæs'ti:ʃ] n.(音乐、文学、艺术等)混合拼凑的作品
['pɑ:stərəl] a.田园生活的；宁静的
['peistri] n.糕点，点心
[pætʃ] n.补丁；一小片(土地)
['peitənt] a.显而易见的；n.专利权(证书)
['pæθədʒ(ə)n] n.病原体
[,pæθə'lɔdʒikəl] a.病态的；病理的
[pə'θɔlədʒi] n.病理学
['pætinə] n.（铜）绿锈；光亮的外表
[pə'triʃən] n.贵族
['pætriməni] n.祖传的财产
['pætriət] n.爱国者，爱国主义者
['pætriətizəm] n.爱国主义，爱国心
['pætrənidʒ] n.赞助，惠顾
['pætrənaiz] v.以高人一等的态度对待，以恩人自居；(老顾客)光顾，惠顾
['pɔ:siti] n.小量，少量，缺乏
['pɔ:ntʃi] a.(尤指男子)大肚子的
['pɔ:pə] n.贫民
[pi:k] v.憔悴，消瘦
[pi'kæn] n.山核桃
[pekə'diləu] n.小过失
[pek] v.啄食；轻啄
['pedəɡɔɡ] n.教师，教育者
['pedəɡɔɡi] n.教育学，教学法
['pedl] n.踏板，脚蹬；v.骑脚踏车
['pedənt] n.书呆子
['pedistl] n.(柱石或雕像的)基座
[pe'destriən] a.行人的，徒步的；缺乏想像的；n.行人
[,pi:di'ætriks] n.（医）小儿科
[pi:l] v.削去„的皮；剥落；n.外皮
[piə] n.同等之人，同辈
['piəlis] a.无可匹敌的
[pi:v] v.使气恼，使发脾气
['pi:viʃ] a.坏脾气的，易怒的（尤指对小事）
['pi:dʒərətiv] a.带有轻蔑意义的，贬低的
[pelf] n.（贬）钱财；不义之财
[pel'mel] adv.混乱地，乱糟糟地
[pə'lju:sid] a.清晰的，清澈的
[pen] n.关动物的围栏；监禁；母天鹅
['penəlaiz] v.置(某人)于不利地位；处罚
['penlti] n.刑罚，处罚
['penəns] n.自我惩罚
['pə:ŋʃə:nt] n.爱好，嗜好
['pendiŋ] a.即将发生的；未决的
['pendjuləm] n.摆，钟摆
['penitreit] v.刺穿；渗入；了解，洞察
[,peni'silin] n.盘尼西林，青霉素
[pi'ninsjulə] n.半岛
['penitənt] a.后悔的，忏悔的
['penənt] n.(船上用的)信号旗
[pi'nʌltimit] a.倒数第二的
['penjuri] n.贫穷；吝啬
[pə'ræmbjuleit] v.（以漫步）巡视；漫步
[pə'sepʃən] n.感觉；洞察力，理解力，悟性
[pə:tʃ] v.(鸟)栖息
[pə'kʌʃənist] n.敲击乐器的乐师
[periɡri'neiʃ(ə)n] n.游历(尤指在国外)
[pə'remptəri] a.(命令)不容反抗的，强制的；(人，举止)专横的
[pə'renjəl] a.全年的；永久的
[pə:'fə:vid] a.非常热心的
[pə:'fidiəs] a.不忠的，背信弃义的
['pə:fidi] n.不忠，背叛
['pə:fəreit] v.打洞，穿孔
[pə'fʌŋktrəli] adv.敷衍地，马虎地，例行地
[pə'fʌŋktəri] a.草率的，敷衍的，马虎的，例行的
['peril] n.危险
['periləs] a.危险的，冒险的
[pə'rimitə] n.周长
[,piəri'ɔdikəl] n.期刊
[,peripə'tetik] a.巡游的
[pə'rifərəl] a.不重要的；外围的
[pə'rifəri] n.不重要的部分；外围
['periskəup] n.潜望镜
['periʃ] v.死，毁灭
['periʃiŋ] a.严寒的
['pə:dʒə] v.作伪证，发假誓
['pə:dʒəri] n.作伪证，发假誓
['pə:ki] a.神气的，活泼的
['pə:mənəns] n.永久，持久
['pə:mənənt] a.长久的，永久的
['pə:miəbl] a.可渗透的(penetrable)
['pə:mieit] v.扩散；渗透
[pə(:)'misiv] a.过分纵容的
[pə:'niʃəs] a.有害的；致命的
[,pə:pən'dikjulə] a.垂直的
[pə'petjuəl] a.连续不断的；永久的
[pə(:)'petjueit] v.使永存，使永记不忘
['pə:kwizit] n.固定津贴，利益，好处
['pə:sikju:t] v.(宗教、政治、宗族)迫害
[,peəsi'flɑ:ʒ] n.(善意的)嘲弄、玩笑
[pə'sistəns] n.坚持不懈，持续
['pə:sənəbl] a.英俊的，风度好的
[pə(:),sɔnifi'keiʃən] n.典型，化身，完美榜样
[,pə:sə'nel] n.全体人员，员工
[pə'spektiv] n.(判断事物的)角度，方法；透视法
[,pə:spi'keiʃəs] a.判断力强的，有识别力的，有洞察力的，独具慧眼的
[,pə:spi'kju(:)iti] n.(语言，文章)明晰，表达清楚；聪明睿智
[pə(:)'spikjuəs] a.(语言，文章)明晰的，表达清楚的
[pəs'paiə] v.流汗
[pə'tein] v.属于，依附于；关于，与„有关联
[,pə:ti'neiʃəs] a.固执的；无法驾御的；不妥协的
['pə:tinənt] a.有关的，相关的；中肯的，恰当的
[pə'ru:z] v.细读，精读
[pə(:)'veid] v.弥漫，普及
['pə:viəs] a.可渗透的
['pesimizm] n.悲观；悲观主义
[pest] n.害虫；讨厌的人或物
['pestə] v.纠缠，强求
['pestisaid] n.杀虫剂
['pestilənt] a.致死的；有害的
['pestl] n.(捣碎或研磨用的)杵
['petl] n.花瓣
[pi'tiʃən] n.请愿；请愿书
[pi'tiʃənə(r)] n.请愿人
['petri,fai] v.石化；吓呆
['petrəɡlif] n.(尤指史前)岩石雕刻
[pi'trəuliəm] n.石油
[pi'trɔlədʒi] n.岩石学
['peti] a.琐碎的，不重要的；小心眼的，气量小的
['petjuləns] n.发脾气，性急，暴躁
['petjulənt] a.性急的，暴躁的
['fæntəm] n.鬼怪，幽灵；幻像，幻觉
[,fɑ:mə'sju:tikəl] a.制药的
[,fɑ:mə'kɔlədʒi] n.药理学，药物学
[fə'nɔminə] n.(复数)现象；科学研究的现象
[fi'nɔminl] a.显著的，非凡的，了不起的
[filən'θrɔpik] a.博爱的
[fi'lætəlist] n.集邮家
[fi'lætəli] n.集邮
['filistain] n.庸俗之人，轻视艺术的人
[fleɡ'mætik] a.冷静的，冷淡的
['fi:niks] n.凤凰，永生或再生的象征
[fəu'netik] a.语音的
[,fəutəu'sinθəsis] n.光合作用
[,fiziə'lɔdʒikəl] a.生理的；生理学的
[pi'ɑ:nəu] a.(音乐)轻柔的
[pik'tɔ:riəl] a.绘画的；有图片的，用图片表示的
['pidliŋ] a.(贬)琐碎的，微不足道的
[paid] a.杂色的
[piəs] v.刺透；穿过
['piəsiŋ] a.(寒风)刺骨的；(观察力)敏锐的
['piɡmənt] n.天然色素；干粉颜料
['pilɡrim] n.朝圣客，香客
['pilə] n.柱子
['piləri] n.颈手枷；示众，受公众嘲弄
['pailət] n.飞行员；领航员；领导人
[pintʃ] v.捏，掐；n.一撮，一点
[pain] n.松树；v.(因疾病等)憔悴；渴望
['pinəkl] n.尖塔；山峰，顶峰
['pin,pɔint] v.精确地找出或描述；a.非常精确的
['paiəs] a.(对宗教)虔诚的，尽责的
['pi:kənt] a.辛辣而开胃的；兴奋的
[pi:k] n./v.(因自尊心受伤害而导致的)不悦，愤怒；v.冒犯
['paiərit] n.海盗；剽窃者，盗版者；v.掠夺；盗印
[piru'et] n./v.(舞蹈)脚尖立地的旋转
['pistl] n.手枪
[pitʃ] n.沥青，柏油；音调
['pitʃə] n.有柄水罐
['pitfɔ:l] n.陷阱，未料到的危险或困难
[piθ] n.精髓，要点
['piθinis] n.简洁
['piθi] a.(讲话或文章)简练的
['pitiful] a.值得同情的，可怜的
['pitəns] n.微薄的薪俸，少量的收入
[plə'keit] v.抚慰，平息(愤怒)
[plə'si:bəu] n.(医)安慰剂
['plæsid] a.安静的，平和的
['pleidʒiərizəm] n.剽窃，抄袭
['pleidʒiəraiz] v.剽窃，抄袭
[pleiɡ] n.瘟疫；讨厌的人或物；v.烦扰(尤指一再询问或要求)
[plein] a.简单的；清楚的；n.平原
['pleintif] n.原告
['pleintiv] a.(听起来)哀伤的，伤心的
[plæt] n.发辫；v.编成辫
[plein] n.刨子；平面；v.刨
['plænit] n.行星
['plændʒənt] a.(声音)轰鸣的；(声音)悲哀的
['plæŋkt(ə)n] n.浮游生物
[plɑ:k] n.匾(用于纪念或装饰的饰板)；血小板
['plɑ:stə] n.灰泥，石膏；v.抹灰泥
['plætəu] n.高原；平稳的状态
['plætitju:d] n.陈词滥调
[plə'tɔnik] a.理论的；纯精神上的，纯友谊的，没有感官性欲的
['plɔ:dit] v.喝彩，赞扬
['plɔ:zəbl] a.似是而非的，似乎合理的；(贬)嘴巧的(尤指为行骗)
[pli:d] v.恳求；提出„为理由
[pli:t] n.(衣服上的)褶
[pledʒ] n.誓言，保证；v.发誓
['plenitju:d] n.完全，充分；大量
['pleθərə] n.过量，过剩
['plaiəbl] a.易弯的，柔软的
['plaiənt] a.易受影响的；易弯的
[plait] n.困境，苦境
[plinθ] n.(柱或雕像的)柱脚，底座
[plɔd] v.重步走；吃力地干
[plɔt] n.(戏剧、小说)情节；阴谋，策划
[plau] n.犁；v.用犁耕地
[plɔi] n.花招，策略
[plʌk] n.在困难面前足智多谋的勇气，胆量；精力；v.拔毛；弹拉(乐器)
[plʌm] adv.恰恰，正好；v.深入了解，探究；用铅锤测水深；a.垂直的；n.铅锤
['plʌmbə] n.管子工，铅管工
[plu:m] n.羽毛；v.整理羽毛；为某事自喜、自豪
['plʌmit] v.垂直或突然坠下；n.测深锤
['plʌndə] v.抢劫，掠夺
[plʌndʒ] v.投入，穿入，进入；俯冲
[plʌʃ] a.豪华的
[plu:'tɔkrəsi] n.财阀统治
[pɔd] n.豆荚；v.剥掉(豆荚)
[pəu'daiətrist] n.足医
['pəudiəm] n.(乐队)指挥台
['pɔinənt] a.伤心的，心酸的；尖锐的
[pɔiz] v.使相等，使平衡；n.泰然自若，镇定
['pɔiznəs] a.有毒的；有害的
[pəuk] v.刺，戳；嘲弄
['pəulə] a.地极的，两极的；磁极的
[pəu'læriti] n.(观点，看法)二极分化，对立；磁体极性
['pəuləraiz] v.使„两极分化
[pɔ'lemik] n.争论，论战
[pə'lemikəl] a.挑起论战的
['pɔliʃ] v.把„擦光亮，抛光；n.上光剂，擦光剂；(态度等)优雅
[pəul] n.民意测验；选举投票
['pɔlin] n.花粉
['pɔlineit] v.给„授粉
['pəulstə] n.民意测验家
[pɔm'pɔsiti] n.自大的行为，言辞
['pɔmpəs] a.自大的
['pɔntʃəu] n.斗篷，披风；雨衣
['pɔndə] v.仔细考虑
['pɔndərəbl] a.可估量的
['pɔndərəs] a.笨重的，笨拙的
[pɔn'tifikəl] a.(贬)自以为是的，自大的；武断的
[pɔn'tifikit] v.自大武断、自封为权威地做或说
['pɔpjuləs] n.民众，老百姓
['pɔpjuləs] a.人口稠密的
['pɔ:slin] n.瓷；瓷器
['pɔ:kjupain] n.豪猪，箭猪(身上长刺的猪)
[pɔ:] n.毛孔，气孔
['pɔ:rəs] a.可渗透的；多孔的
[pɔ:'tentəs] a.凶兆的，不祥的
[pɔ:t'fəuljəu] n.(皮制)文件夹，公事包；股份单
[pɔ:'trei] v.描绘，描述
[pəuz] v.摆姿势；造作，装腔作势
[pəu'zə:] n.装模作样的人
['pɔzit] v.断定，假定„为实
['pɔsi] n.地方武装团队
[pə'zest] a.着迷的；疯狂的
['pəustə] n.海报，招贴画
[pəust'pəun] v.使延期，推迟
['pɔstjuleit] v.假定；要求
['pɔstʃə] n.姿势，体态；态度；v.(以不自然的方式)故作姿态
['pəutəbl] a.适于饮用的
[pəu'teiʃən] n.饮，喝；饮料(尤指酒)
['pəutənteit] n.统治者，当权者
[pə'tenʃ(ə)l] a.潜在的，有可能性的
[pə'tenʃieit] v.加强(力量，效果)
[pəu'puri(:)] n.混杂物；杂文集
['pɔtəri] n.制陶；陶器
[paut] v.(表示不开心)噘嘴，板脸
[præk'tiʃənə] n.开业者，实习者；(尤指医学或法律界)从业人员
[præɡ'mætik] a.实际的，实用主义的
[præŋk] n.恶作剧，玩笑
[preit] v.瞎扯，胡说；唠叨，喋喋不休
[pri:tʃ] v.传教，讲道
[pri:'æmbl] n.(书，演讲)前言，序言；事情的先兆
[pri'keəriəs] a.不稳固的，不安全的；不确定的，不稳定的
[pri(:)'si:d] v.在„之前，早于
['pri:sept] n.箴言，格言
['presipis] n.悬崖
[pri'sipitənt] n.沉淀剂
[pri'sipiteit] v.加速，促成；a.鲁莽的
[pri,sipi'teiʃən] n.降水(量)
['preisi:] n.摘要，大纲
[pri'sais] a.精确的
[pri'klu:d] v.避免，排除，阻止
[pri'kəuʃəs] a.(儿童)早熟的
[pri(:)'kə:sə] n.先驱，先兆
['predətə] n.食肉动物
['pri:disesə] n.(职务、职位的)前任，前辈；原先的(被继承或被取代的)东西
[pri'destin] v.注定
[pri'dikəmənt] n.困境，窘境
[,pri:di'lekʃən] n.偏爱，爱好
['pri:,dispə'ziʃən] n.倾向，癖性
[pri'dɔminənt] a.有势力的；极其显著的，盛行的
[pri'dɔmineit] v.支配，统治；(数量、力量等)占优势
[pri(:)'eminənt] a.出类拔萃的
[pri(:)'empt] v.以优先购买权取得；取代
[pri:n] v.(鸟)整理羽毛；(人)打扮修饰
['prefis] n.序言
['preɡnənt] a.怀孕的；充满的
['pri:his'tɔrik] a.史前的
['predʒudis] n.偏见，成见；v.使产生偏见
[pri'liminəri] a.预备的；(某一重要行动或事情)初步的，开始的
[,pri'litərit] a.文字出现以前的
['prelju:d] n.(行动，事情的)序幕，前奏
[premə'tjuə] a.过早的，提前的；早产的
[pri(:)'mediteit] v.预先设想，预谋
[pri(:)'mediteitid] a.预谋的，事先计划的
['premieə] n./v.(电影，戏剧)首次公演
['premis] n.(推理所依据的)前提
['primjəm] n.保险费；奖金
[,pri:mə'niʃən] n.预感，预兆
[pri(:),ɔkju'peiʃən] n.全神贯注；使人专注的东西
[pri'pɔndəreit] v.(重量上，重要性上)压倒，超过
[,prepə'ziʃən] n.介词，前置词
[pri'pɔstərəs] a.荒谬的，完全违背常理的
['pri:'rekwizit] n.先决条件，必备条件
[pri'rɔɡətiv] n.特权
['presidʒ] n.(多指不祥的)预感；v.(不祥)预示
['pre'saiəns] n.预知，先见
[pris'kraib] v.(医)开处方；规定
[pri'skripʃən] n.处方(上的药)
[,prezen'teiʃən] n.介绍；描述
[pri'zentə] n.主持人
[pri'zə:vətiv] a.防腐的；n.防腐剂
[pri'zaid] v.担任主席；负责；指挥
[pres] v.挤压
['presiŋ] a.紧迫的，迫切的；恳切要求的
[pres'ti:ʒ] n.威信，威望，声望
[pres'ti:dʒəs] a.有名望的，有威信的
[pri'zju:m] v.假定，认定
[pri'zʌmpʃən] n.冒昧，专横；假定
[,pri:sʌpə'ziʃ(ə)n] n.预先假定，臆测
[pri'tend] v.假装；装扮(尤指儿童在游戏中)
[pri:'tenʃən] n.自命不凡，狂妄
[pri'tenʃəs] a.自抬身价的，自命不凡的，狂妄的
[,pri:tə(:)'nætʃərəl] a.异常的；超自然的
['pri:tekst] n.借口
[pri'veil] v.战胜，击败；盛行，普遍存在
[pri'værikeit] v.支吾其词，搪塞，说谎
[pri:'vju:] v./n.(电影，戏剧，展览会)预演，预展
['pri:vjəs] a.在先的，以前的
[prei] n.被捕食的动物
[prim] a.端庄的，整洁的
['praimit] n.灵长类(动物)
[praim] n.全盛时期；a.最初的，原始的；首要的
[primp] v.（贬）(妇女)刻意打扮
['prinsəp(ə)l] a.主要的，重要的
['prinsəpl] n.原则，原理；道德准则
[prai'ɔriti] n.在先，居前；优先权
['pristain] a.远古的，太古的；纯洁的；新鲜的
[prai'veiʃən] n.生活必需品的匮乏、贫困
['privilidʒ] n.特权，特别利益
[prəub] v.探索，探测
['prəubiti] n.刚直，正直
[prəu'bɔsis] n.(象)长鼻；(昆虫等)吸管
['prəusi:dz] n.(从某种表演活动所得的)收入
[prə'seʃən] n.(人，车)行列，队伍；列队前进
[prə'kleim] v.宣告，宣布；表明，显示
[prɔklə'meiʃ(ə)n] n.宣布，公告
[prəu'kræstineit] v.（贬）(习惯性地)耽搁，拖延
['prɔktə] n.学监
[prə'kjuə] v.取得，获得
